,sym,date,time,price,size,cond,cancelled,exchTime,exchDate,exch
177,0005.HK,2019-09-04,09:30:32.093,56.5,400,,0,09:30:32.000,2019-09-04,HKG
178,0005.HK,2019-09-04,09:30:32.093,56.5,10000,,0,09:30:32.000,2019-09-04,HKG
179,0005.HK,2019-09-04,09:30:32.093,56.5,800,,0,09:30:32.000,2019-09-04,HKG
180,0005.HK,2019-09-04,09:30:32.093,56.5,11600,,0,09:30:32.000,2019-09-04,HKG
181,0005.HK,2019-09-04,09:30:32.095,56.5,10000,,0,09:30:32.000,2019-09-04,HKG
182,0005.HK,2019-09-04,09:30:32.095,56.5,2400,,0,09:30:32.000,2019-09-04,HKG
183,0005.HK,2019-09-04,09:30:32.106,56.55,400,,0,09:30:32.000,2019-09-04,HKG
184,0005.HK,2019-09-04,09:30:32.597,56.5,4000,,0,09:30:32.000,2019-09-04,HKG
185,0005.HK,2019-09-04,09:30:32.654,56.5,1600,,0,09:30:32.000,2019-09-04,HKG
186,0005.HK,2019-09-04,09:30:32.654,56.5,800,,0,09:30:32.000,2019-09-04,HKG
187,0005.HK,2019-09-04,09:30:32.654,56.45,400,,0,09:30:32.000,2019-09-04,HKG
188,0005.HK,2019-09-04,09:30:33.606,56.55,400,,0,09:30:33.000,2019-09-04,HKG
189,0005.HK,2019-09-04,09:30:35.081,56.55,400,,0,09:30:35.000,2019-09-04,HKG
190,0005.HK,2019-09-04,09:30:35.081,56.55,4800,,0,09:30:35.000,2019-09-04,HKG
191,0005.HK,2019-09-04,09:30:35.521,56.55,1200,,0,09:30:35.000,2019-09-04,HKG
192,0005.HK,2019-09-04,09:30:35.521,56.55,400,,0,09:30:35.000,2019-09-04,HKG
193,0005.HK,2019-09-04,09:30:35.521,56.55,800,,0,09:30:35.000,2019-09-04,HKG
194,0005.HK,2019-09-04,09:30:35.521,56.55,400,,0,09:30:35.000,2019-09-04,HKG
195,0005.HK,2019-09-04,09:30:35.578,56.45,1200,,0,09:30:35.000,2019-09-04,HKG
196,0005.HK,2019-09-04,09:30:35.578,56.45,800,,0,09:30:35.000,2019-09-04,HKG
197,0005.HK,2019-09-04,09:30:40.080,56.55,800,,0,09:30:40.000,2019-09-04,HKG
198,0005.HK,2019-09-04,09:30:40.522,56.6,400,,0,09:30:40.000,2019-09-04,HKG
199,0005.HK,2019-09-04,09:30:44.522,56.6,1600,,0,09:30:44.000,2019-09-04,HKG
200,0005.HK,2019-09-04,09:30:45.207,56.6,400,,0,09:30:45.000,2019-09-04,HKG
201,0005.HK,2019-09-04,09:30:45.207,56.6,3600,,0,09:30:45.000,2019-09-04,HKG
202,0005.HK,2019-09-04,09:30:45.207,56.6,1200,,0,09:30:45.000,2019-09-04,HKG
203,0005.HK,2019-09-04,09:30:45.207,56.6,400,,0,09:30:45.000,2019-09-04,HKG
204,0005.HK,2019-09-04,09:30:45.207,56.6,400,,0,09:30:45.000,2019-09-04,HKG
205,0005.HK,2019-09-04,09:30:45.207,56.6,800,,0,09:30:45.000,2019-09-04,HKG
206,0005.HK,2019-09-04,09:30:45.207,56.6,400,,0,09:30:45.000,2019-09-04,HKG
207,0005.HK,2019-09-04,09:30:45.207,56.6,800,,0,09:30:45.000,2019-09-04,HKG
208,0005.HK,2019-09-04,09:30:45.207,56.6,7600,,0,09:30:45.000,2019-09-04,HKG
209,0005.HK,2019-09-04,09:30:45.207,56.6,2000,,0,09:30:45.000,2019-09-04,HKG
210,0005.HK,2019-09-04,09:30:45.207,56.55,400,,0,09:30:45.000,2019-09-04,HKG
